FID,id,vejid,vejkode,vejnavn,vejstatus,ret_dato,opret_dato,wkb_geometry
vejflade.11,574,1010004000000,0004,Abel Cathrines Gade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((723898.752643934 6175214.48915018, 723917.086203036 6175206.52304971, 723931.546993116 6175200.24013479, 723936.96397145 6175212.75703948, 723934.4466755161 6175212.62027569, 723924.913301331 6175216.75264574, 723910.1904553091 6175223.13442349, 723901.535949201 6175226.88599796, 723882.31480006 6175235.21871308, 723875.559294183 6175238.14746291, 723875.284839661 6175240.69704749, 723860.326716281 6175231.18691686, 723871.886490499 6175226.16321362, 723880.596667409 6175222.37872601, 723898.752643934 6175214.48915018)))"
vejflade.12,573,1010004000000,0004,Abel Cathrines Gade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((723766.642402163 6175272.11899845, 723782.8028187831 6175265.0783572, 723799.843142753 6175257.65494028, 723808.602969514 6175253.83842293, 723840.2951358 6175240.03182781, 723840.904630819 6175239.76575901, 723841.146085111 6175237.21552287, 723849.4444159181 6175242.78358652, 723857.183745043 6175247.53028818, 723856.262964823 6175247.45007349, 723855.06933368 6175247.4074855, 723853.1882289151 6175247.8815251, 723844.936452923 6175251.50299937, 723825.284359383 6175260.12831543, 723810.96155559 6175266.41494997, 723803.841019647 6175269.54056697, 723798.908309099 6175271.70601016, 723774.5394655861 6175282.40199286, 723769.2858697671 6175284.70715373, 723761.8030538211 6175287.99167792, 723741.205388074 6175297.03247821, 723717.151415678 6175307.58961887, 723714.439262314 6175308.75851958, 723721.512111036 6175298.67822825, 723731.104233739 6175283.92484814, 723733.26102511 6175286.66251649, 723738.86040721 6175284.22313172, 723748.17523268 6175280.16448108, 723766.642402163 6175272.11899845)))"
vejflade.13,5448,1010006000000,0006,Aberdeengade,Privat fællesvej,2014-09-19T00:00:00,2014-09-19T00:00:00,"MULTIPOLYGON (((725706.733 6179226.279, 725697.049 6179267.965, 725685.4203894951 6179265.26044676, 725695.042 6179223.564, 725706.733 6179226.279)))"
vejflade.14,575,1010008000000,0008,Abildgaardsgade,Kommunevej,2013-05-22T11:36:03,2013-05-22T08:19:38,"MULTIPOLYGON (((724585.034 6177563.45, 724587.869 6177563.595, 724613.4680334709 6177546.30783134, 724618.476440263 6177542.96288279, 724630.175 6177535.249, 724634.802 6177542.165, 724619.161335164 6177552.63496096, 724593.0610139971 6177570.04220365, 724592.5701182941 6177572.50748014, 724585.034 6177563.45)))"
vejflade.15,2333,1010008000000,0008,Abildgaardsgade,Privat fællesvej,2013-07-26T11:08:02,2013-05-22T08:19:38,"MULTIPOLYGON (((724582.554 6177560.446, 724585.062 6177560.985, 724590.297 6177557.485, 724592.193071049 6177556.21705821, 724596.464 6177553.361, 724601.333 6177550.105, 724606.229 6177546.831, 724610.310877494 6177544.10210897, 724611.216 6177543.497, 724616.036 6177540.274, 724621.053 6177536.921, 724626.024 6177533.597, 724630.934 6177530.314, 724634.717952726 6177527.78456106, 724635.754 6177527.092, 724640.674 6177523.803, 724645.485 6177520.585, 724650.4500000001 6177517.266, 724655.371 6177513.976, 724659.139276606 6177511.45693918, 724660.303 6177510.679, 724665.28 6177507.351, 724670.098 6177504.13, 724674.951 6177500.886, 724679.965 6177497.533, 724684.995 6177494.171, 724687.1926816211 6177492.70169798, 724689.901 6177490.891, 724694.807 6177487.611, 724699.712 6177484.331, 724704.522 6177481.115, 724710.589 6177477.059, 724715.321 6177473.895, 724716.026558969 6177471.31542507, 724718.21 6177476.347, 724715.7059815441 6177478.01975802, 724709.558450018 6177482.13223361, 724694.191387461 6177492.3953843, 724672.1625665941 6177507.12604075, 724661.457 6177514.444, 724644.557323429 6177525.54432716, 724630.175 6177535.249, 724618.476440263 6177542.96288279, 724613.4680334709 6177546.30783134, 724587.869 6177563.595, 724585.034 6177563.45, 724582.554 6177560.446)))"
vejflade.16,2334,1010008000000,0008,Abildgaardsgade,Privat fællesvej,2013-07-26T11:08:02,2013-05-22T08:19:38,"MULTIPOLYGON (((724593.0610139971 6177570.04220365, 724614.353049302 6177555.84223686, 724666.1 6177521.266, 724721.593 6177484.013, 724724.084 6177489.661, 724721.383 6177488.496, 724718.079743001 6177490.71048483, 724716.286 6177491.913, 724710.235 6177495.968, 724706.889040553 6177498.21001116, 724705.331 6177499.254, 724700.532 6177502.471, 724695.628 6177505.757, 724690.739 6177509.034, 724685.844 6177512.315, 724680.816 6177515.685, 724676.022 6177518.899, 724675.629203838 6177519.16219627, 724671.206 6177522.126, 724666.372 6177525.366, 724661.55 6177528.598, 724655.433 6177532.698, 724650.586 6177535.946, 724645.727 6177539.203, 724640.882 6177542.45, 724636.048 6177545.69, 724631.106 6177549.002, 724625.982 6177552.436, 724621.211 6177555.633, 724616.3 6177558.924, 724611.419 6177562.195, 724606.525 6177565.475, 724600.373 6177569.599, 724595.406 6177572.928, 724595.238 6177575.817, 724592.5701182941 6177572.50748014, 724593.0610139971 6177570.04220365)))"
vejflade.17,576,1010008000000,0008,Abildgaardsgade,Kommunevej,2013-05-22T11:36:35,2013-05-22T08:19:38,"MULTIPOLYGON (((724666.1 6177521.266, 724661.457 6177514.444, 724692.164788624 6177493.77964358, 724715.7059815441 6177478.01975802, 724718.21 6177476.347, 724721.593 6177484.013, 724666.1 6177521.266)))"
vejflade.18,2332,1010008000000,0008,Abildgaardsgade,Privat fællesvej,2013-05-22T11:35:22,2013-02-08T11:38:36,"MULTIPOLYGON (((724634.802 6177542.165, 724630.175 6177535.249, 724661.457 6177514.444, 724666.1 6177521.266, 724634.802 6177542.165)))"
vejflade.19,2335,1010012000000,0012,Abildhøj,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((717534.95529036 6179874.45119147, 717528.873986868 6179877.94526066, 717512.64678454 6179887.35928387, 717493.367143759 6179898.54414276, 717479.892276864 6179906.36142903, 717477.9247544288 6179909.489670038, 717472.096247113 6179897.41503576, 717474.529516182 6179898.10438915, 717507.773030608 6179878.76540593, 717530.239616841 6179865.69575887, 717543.712480665 6179857.8581877, 717560.509826976 6179848.086664, 717565.041500346 6179856.99051461, 717558.573424965 6179860.74429355, 717547.630700033 6179867.09495678, 717534.95529036 6179874.45119147)))"
vejflade.20,4334,1010014020000,0014,Abildvang,Privat fællesvej,2012-02-06T13:12:26,2012-02-06T13:11:11,"MULTIPOLYGON (((717545.2988978131 6179790.44387173, 717592.131 6179763.325, 717600.2000000001 6179777.256, 717593.653208896 6179781.04504811, 717570.0801629929 6179794.6882824, 717569.22744078 6179795.18180746, 717554.21 6179803.88, 717555.26 6179805.684, 717554.046585001 6179806.61554421, 717545.2988978131 6179790.44387173)))"
vejflade.21,4335,101001402B000,0014,Abildvang,Privat fællesvej,2012-02-06T13:14:09,2012-02-06T13:11:11,"MULTIPOLYGON (((717587.477 6179818.842, 717585.056 6179813.301, 717589.61 6179810.663, 717590.486 6179812.174, 717595.604 6179809.208, 717594.729 6179807.698, 717599.268 6179805.068, 717599.641956904 6179805.67504462, 717603.738 6179809.426, 717587.477 6179818.842)))"
vejflade.22,4036,1010014000000,0014,Abildvang,Privat fællesvej,2012-02-06T13:48:14,2012-02-06T12:25:50,"MULTIPOLYGON (((717536.762473368 6179791.31992658, 717541.50215801 6179788.56627221, 717543.273 6179791.617, 717545.2988978131 6179790.44387173, 717554.046585001 6179806.61554421, 717555.26 6179805.684, 717582.846 6179853.124, 717582.999 6179857.324, 717592.529 6179873.788, 717596.986 6179880.821, 717613.955 6179914.317, 717617.303 6179920.774, 717625.521 6179934.988, 717625.703 6179936.611, 717634.023 6179951.03, 717635.5027477618 6179958.009246397, 717636.3218965393 6179959.977474495, 717642.2229239432 6179971.413631701, 717640.501 6179972.408, 717643.458 6179977.525, 717660.181 6179967.862, 717665.47 6179978.312, 717665.432 6179979.134, 717639.437 6179992.29, 717571.118 6179858.566, 717562.549 6179841.795, 717536.762473368 6179791.31992658)))"
vejflade.23,4333,1010014040000,0014,Abildvang,Privat fællesvej,2012-02-06T13:44:37,2012-02-06T13:44:37,"MULTIPOLYGON (((717596.986 6179880.821, 717592.529 6179873.788, 717592.529 6179873.788, 717606.749 6179865.574, 717605.3180130441 6179863.10195428, 717606.841 6179862.149, 717620.499 6179854.236, 717621.506 6179855.975, 717628.076 6179852.179, 717627.3 6179850.836, 717630.407 6179849.041, 717630.149 6179848.595, 717638.975 6179843.483, 717638.087 6179841.95, 717642.918 6179839.15, 717642.002 6179837.569, 717652.339 6179831.579, 717653.378 6179833.803, 717654.822 6179836.165, 717643.914 6179843.694, 717646.893 6179848.008, 717644.509081017 6179849.65359237, 717637.694 6179852.463, 717628.99 6179857.486, 717612.371 6179867.076, 717614.5179471091 6179870.79606587, 717610.661 6179872.909, 717608.0470942741 6179874.421338, 717596.986 6179880.821, 717596.986 6179880.821)))"
