FID,id,vejid,vejkode,vejnavn,vejstatus,ret_dato,opret_dato,wkb_geometry
vejflade.36,584,1010028000000,0028,Admiralgade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725175.132331882 6176071.88175297, 725183.683280249 6176059.70377572, 725189.857748191 6176050.89420626, 725199.750470355 6176036.42581312, 725207.9395004581 6176024.18566027, 725214.950719026 6176013.58289853, 725221.652933283 6176003.63229382, 725226.654607582 6175996.20611112, 725237.741803659 6175977.88976629, 725235.994567121 6175976.5497217, 725256.47055285 6175944.15617812, 725255.015405391 6175941.19725514, 725262.886346969 6175945.76553603, 725267.3984788 6175948.07857742, 725234.772816033 6176002.53798214, 725231.36355308 6176006.58326443, 725229.7190736419 6176008.44753025, 725226.357493788 6176012.25665971, 725219.1519202311 6176022.72152826, 725213.110912908 6176031.61176778, 725206.099550209 6176042.77875158, 725201.732053649 6176048.94295377, 725195.304162526 6176058.3257475, 725189.099678519 6176067.23676467, 725177.273763305 6176084.1059327, 725173.840456712 6176073.67195254, 725175.132331882 6176071.88175297)))"
vejflade.37,2339,1010032000000,0032,Adriansvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((727658.363836152 6172288.81736634, 727643.4371881031 6172282.50821189, 727639.524360249 6172283.98860268, 727645.0618196671 6172269.08176406, 727646.7170267759 6172272.95701814, 727659.496796575 6172278.44910516, 727665.656217588 6172281.09610728, 727687.223820207 6172290.1814558, 727706.611465424 6172298.25637126, 727710.483734823 6172296.70214954, 727705.0140701861 6172311.51929285, 727703.35144763 6172307.81696218, 727673.2904850431 6172295.12652158, 727658.363836152 6172288.81736634)))"
vejflade.38,2337,1010032000000,0032,Adriansvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((727572.979156021 6172252.83861456, 727563.500385634 6172248.85392624, 727559.7235805229 6172250.64012669, 727564.8433234859 6172235.55797739, 727566.5697106321 6172239.27356912, 727576.697080026 6172243.52016396, 727586.824449809 6172247.76675916, 727610.7188763489 6172257.821417, 727632.0756276511 6172266.89459538, 727635.8080571691 6172265.2785887, 727630.1903663541 6172280.14482686, 727628.666839724 6172276.33920017, 727609.687321405 6172268.31736489, 727587.993282321 6172259.15049272, 727582.457926749 6172256.82330321, 727572.979156021 6172252.83861456)))"
vejflade.39,2338,1010032000000,0032,Adriansvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((727730.2004377971 6172319.11537664, 727715.252141852 6172312.79385759, 727718.555496642 6172303.21711484, 727740.33938354 6172312.43157973, 727768.887125743 6172324.50711983, 727784.103405934 6172330.89202703, 727787.809501327 6172329.44456982, 727782.2888178161 6172344.36275207, 727780.9122748431 6172340.56102471, 727730.2004377971 6172319.11537664)))"
vejflade.40,2340,1010032000000,0032,Adriansvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((727806.253147548 6172351.13095667, 727795.3866720661 6172346.51911722, 727791.664463599 6172348.07330007, 727797.039294343 6172333.34731797, 727798.667653759 6172336.9609377, 727816.8097873641 6172344.6104622, 727819.5544830441 6172345.76774713, 727843.2734200481 6172355.79394967, 727864.506351994 6172364.80567684, 727868.039813974 6172363.23476202, 727862.210495073 6172377.97578507, 727860.62009215 6172374.11181017, 727838.436739468 6172364.69616011, 727817.119623477 6172355.74279655, 727806.253147548 6172351.13095667)))"
vejflade.41,2341,1010036000000,0036,Agerbo,Privat fællesvej,2013-04-11T15:06:40,2011-02-09T00:00:00,"MULTIPOLYGON (((725912.9709999993 6172318.9120000005, 725912.8889999995 6172299.2059999965, 725912.7859999993 6172278.567000001, 725913.2093751355 6172245.711153077, 725909.6358839032 6172241.6253514, 725917.616137903 6172242.38414141, 725924.299307505 6172243.01928465, 725922.5980000002 6172244.674000002, 725922.7390000008 6172267.657000002, 725922.8629999997 6172289.204999999, 725922.9470000012 6172310.768000003, 725923.0494851081 6172331.68958242, 725923.2500000001 6172353.863000002, 725923.2850000006 6172376.186000002, 725913.2229999995 6172375.253999997, 725913.1579999992 6172355.619999997, 725913.0459999992 6172337.716999996, 725912.9709999993 6172318.9120000005)))"
vejflade.42,2342,1010040000000,0040,Agerlandsvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((726327.9601914589 6171993.43625431, 726321.123559221 6171992.77007669, 726308.652965608 6171991.73257326, 726294.1798267111 6171990.5294865, 726279.906455173 6171989.34234835, 726265.4403182551 6171988.13940006, 726251.082065602 6171986.94458408, 726236.750860595 6171985.69728073, 726207.924648083 6171983.18943675, 726200.769527276 6171982.56699258, 726193.614406697 6171981.94454845, 726181.1906895611 6171980.86395359, 726174.212263069 6171980.28601424, 726167.630349646 6171979.74091261, 726140.2016019941 6171977.39070981, 726125.764165503 6171976.15331518, 726111.146963989 6171974.90036708, 726103.960197717 6171974.28480166, 726096.773431676 6171973.66923627, 726082.277076023 6171972.42667728, 726067.8206627121 6171971.18790815, 726053.339710795 6171969.87462486, 726038.9479518121 6171968.60411901, 726025.7125009369 6171967.39245451, 726023.500249264 6171968.98144077, 726025.907053943 6171955.61154302, 726027.367620924 6171957.58916187, 726041.833123731 6171958.87412801, 726056.046795062 6171960.04407849, 726070.319079544 6171961.336235, 726084.566062269 6171962.54185746, 726098.705044197 6171963.745348, 726105.848378735 6171964.35655429, 726112.991713502 6171964.96776061, 726127.19901417 6171966.15659361, 726141.496633041 6171967.33120324, 726155.761284982 6171968.55418198, 726174.851948273 6171970.23057587, 726175.066655618 6171970.24982048, 726194.388988713 6171971.94779487, 726208.8279559211 6171973.20922939, 726212.863708101 6171973.55889563, 726223.213199558 6171974.45559783, 726237.507692468 6171975.73819024, 726251.9872158769 6171976.97241446, 726266.342481534 6171978.21719108, 726280.703254675 6171979.48708666, 726295.149747647 6171980.67163938, 726309.548365339 6171981.95028556, 726322.272266216 6171982.9267623, 726325.5564156871 6171983.24019549, 726327.19849044 6171983.39691208, 726328.840565206 6171983.55362868, 726328.370390487 6171988.62040051, 726327.9601914589 6171993.43625431)))"
vejflade.43,2343,1010040000000,0040,Agerlandsvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((726346.6973433191 6171995.18270355, 726327.9601914589 6171993.43625431, 726328.840565206 6171983.55362868, 726329.668712174 6171983.63106763, 726331.261750759 6171983.78003059, 726332.854789358 6171983.92899356, 726334.86190146 6171984.11667601, 726335.865457518 6171984.21051723, 726336.86901358 6171984.30435846, 726348.232031193 6171985.24696727, 726362.814096521 6171986.45620582, 726370.12211009 6171987.06216077, 726377.4301238961 6171987.66811576, 726391.887366666 6171988.86588678, 726406.4404738271 6171990.07255323, 726420.932659851 6171991.27401554, 726435.504749491 6171992.48205738, 726471.6952696791 6171995.48242443, 726469.722462497 6172003.59078011, 726469.279308497 6172005.41377391, 726429.637276497 6172002.06415467, 726415.848253184 6172000.91959031, 726401.894425311 6171999.76176858, 726388.0484619611 6171998.61307917, 726374.259421473 6171997.46951521, 726360.467401527 6171996.32489214, 726346.6973433191 6171995.18270355)))"
vejflade.44,586,1010044000000,0044,Aggersborggade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725437.967 6178324.874, 725452.429 6178332.036, 725450.012 6178332.875, 725434.589448118 6178364.91418605, 725425.632 6178383.791, 725426.51 6178386.206, 725412.040461351 6178379.28235935, 725414.377062672 6178378.43919081, 725426.585 6178352.804, 725438.814 6178327.291, 725437.967 6178324.874)))"
vejflade.45,585,1010044000000,0044,Aggersborggade,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725403.8754346742 6178396.256839989, 725418.414 6178403.179, 725416.046 6178404.033, 725403.865 6178429.57, 725401.597 6178434.03, 725397.683 6178442.453, 725395.778 6178446.113, 725390.38 6178457.577, 725391.2099740221 6178459.85601316, 725376.8003095719 6178453.043080424, 725379.113 6178452.192, 725390.961 6178427.429, 725404.72 6178398.691, 725403.8754346742 6178396.256839989)))"
vejflade.46,2344,1010048000000,0048,Aggersvoldvej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((719919.01684093 6177973.23511229, 719922.213095679 6177960.15657989, 719924.567761637 6177950.65818927, 719926.0656100011 6177944.61584215, 719929.9301312921 6177929.02432201, 719935.7255146679 6177905.479954, 719935.809171124 6177898.81809421, 719935.9576182651 6177887.00557186, 719939.33297327 6177873.6510556, 719952.729005013 6177820.64992648, 719953.180033362 6177819.6954782, 719958.715565203 6177807.98958876, 719972.798121402 6177778.20945431, 719978.97847894 6177765.13877479, 719982.259021809 6177758.20083814, 719981.375167682 6177755.69642936, 720001.4084007561 6177765.83708459, 719999.1590818081 6177766.61993671, 719991.812480682 6177782.0986201, 719982.2195078969 6177802.31070338, 719980.369828052 6177806.20816176, 719974.850956585 6177817.83696883, 719971.120008182 6177828.69534692, 719967.391217449 6177839.54576432, 719960.342888733 6177866.96084044, 719958.1801780621 6177875.65536273, 719953.767079661 6177893.39688221, 719949.092734094 6177902.08079712, 719945.108996001 6177909.48187364, 719941.0595908241 6177925.72198657, 719937.194848462 6177941.22346917, 719933.35623955 6177956.6174271, 719929.4225112051 6177972.39514979, 719925.488781904 6177988.17287195, 719918.4753047 6178016.3038977, 719919.760211856 6178018.30704248, 719906.614851549 6178016.50461478, 719908.787984034 6178014.91995761, 719914.625853444 6177991.2003671, 719918.4243505141 6177975.65956295, 719919.01684093 6177973.23511229)))"
vejflade.47,2345,1010052000000,0052,Aggervej,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((718354.139611181 6177041.62406603, 718351.09418904 6177033.6659548, 718349.3010761951 6177028.98079586, 718341.384707497 6177008.50082033, 718334.883385698 6176991.63914068, 718328.498120294 6176975.02984815, 718316.844403435 6176944.92948301, 718314.49099669 6176943.99464501, 718320.9417669431 6176941.49515579, 718327.233275658 6176939.05654274, 718326.259641142 6176941.24711942, 718332.86545856 6176958.33894653, 718340.355881355 6176977.64406981, 718347.8108609361 6176997.02152094, 718354.694571787 6177014.88312627, 718361.522705441 6177032.67160763, 718361.9869824119 6177033.8812277, 718365.2919359751 6177042.50071145, 718368.596889279 6177051.12019545, 718372.9034936851 6177062.40845656, 718376.8106379351 6177072.64943852, 718384.704738112 6177093.19300305, 718393.231201565 6177115.50171592, 718401.511450108 6177137.05728715, 718405.732664837 6177139.80870103, 718387.45589833 6177140.41484972, 718390.3160830911 6177136.00472158, 718381.1789088211 6177112.15137082, 718372.190346808 6177088.87717246, 718365.07447059 6177070.108641, 718358.577638486 6177053.2730562, 718357.1850331051 6177049.58217745, 718354.139611181 6177041.62406603)))"
vejflade.48,6,1010054010000,0054,Agnes Henningsens Vej,Internt færdselsareal,2012-09-11T09:16:44,2011-02-09T00:00:00,"MULTIPOLYGON (((723583.13336548 6177744.78584298, 723582.962688033 6177729.6213597, 723587.555 6177729.555, 723588.155 6177729.41, 723588.674 6177729.012, 723589.011 6177728.325, 723589.153 6177727.619, 723589.15 6177726.343, 723588.84 6177713.46600001, 723588.484 6177684.94, 723588.306 6177684.416, 723587.912 6177683.984, 723587.262 6177683.659, 723585.85 6177683.482, 723582.6956179551 6177683.52188256, 723582.657247059 6177660.8067524, 723593.4278887159 6177660.719936445, 723593.62804108 6177677.43806464, 723593.539 6177681.344, 723594.15 6177713.52999999, 723594.166 6177734.611, 723594.657 6177744.338, 723594.7397481339 6177744.59359979, 723583.13336548 6177744.78584298)))"
vejflade.416,5444,1010703000000,0703,Bordeauxgade,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((725892.25740496 6179315.32990405, 725882.558 6179312.881, 725883.388924923 6179309.3041092, 725884.653339114 6179303.86117283, 725891.324463243 6179275.14391832, 725892.643 6179269.468, 725902.386 6179271.731, 725892.25740496 6179315.32990405)))"
